  x/c     r/R=0.89  
  0.01   0.4445E+00 
  0.03   0.8531E+00 
  0.04   0.9171E+00 
  0.06   0.9325E+00 
  0.10   0.1046E+01 
  0.13   0.1108E+01 
  0.17   0.1166E+01 
  0.21   0.1208E+01 
  0.26   0.1172E+01 
  0.30   0.1076E+01 
  0.35   0.5771E+00 
  0.42   0.2751E+00 
  0.47   0.2111E+00 
  0.52   0.1673E+00 
  0,65   0.9980E-01 
  0.73   0.5006E-01 
  0.80  -0.6794E-02
  0.87  -0.7194E-01
 0.01  -0.7021E+00  
 0.04  -0.2745E+00  
 0.14   0.1886E+00  
 0.28   0.3035E+00  
 0.45   0.2514E+00  
 0.57   0.1543E+00  
 0.69   0.9980E-01  
 0.79   0.2163E-01  
 0.90  -0.7312E-01  
