x/c     45B1              45B2              60B1             60B2           90B1           90B2
1       -1.239199068    -1.210751744    -1.332877192    -1.318353695    -1.37610964     -1.371591621
0.88    -1.292353912    -1.28264798     -1.406593118    -1.415959185    -1.457149532    -1.465205051
0.76    -1.303989527    -1.298683275    -1.418898133    -1.427025368    -1.492248013    -1.503726611
0.64    -1.312749535    -1.307408472    -1.420709328    -1.430558277    -1.490442712    -1.49986492
0.52    -1.313500219    -1.307927595    -1.435146431    -1.44803615     -1.488481672    -1.499742554
0.44    -1.310482345    -1.302264162    -1.444446159    -1.457198573    -1.497606705    -1.510968474
0.36    -1.300469178    -1.280780349    -1.444231716    -1.443116304    -1.515653357    -1.51414841
0.299   -1.279289574    -1.273660951    -1.424837741    -1.433896799    -1.517571489    -1.525793872
0.232   -1.271137984    -1.253219923    -1.411215213    -1.409689428    -1.531260628    -1.529491878
0.176   -1.247759297    -1.237770345    -1.379031798    -1.385178134    -1.51693423     -1.523864615
0.12    -1.235289755    -1.22634359     -1.357328318    -1.364168895    -1.498275747    -1.506957401
0.08    -1.229733779    -1.219222678    -1.345206891    -1.347544165    -1.477810373    -1.482034396
0.048   -1.219062249    -1.212993204    -1.328741066    -1.332898791    -1.452014913    -1.458641765
0.016   -1.227757178    -1.211440377    -1.320749594    -1.320859129    -1.436286865    -1.436094575
0       -1.445154602    -1.442174564    -1.307451045    -1.319199125    -1.40058132     -1.408407998
0.016   -0.185965523    -0.158774386    -1.205991752    -1.113505124    -1.53350454     -1.495054493
0.048   0.688141904     0.724254991     -0.031415123    0.053896614     -1.367702914    -1.249249116
0.08    0.968091354     0.974965568     0.591771561     0.631171985     -0.60455171     -0.524549549
0.12    1.00041772      1.008327153     0.855673713     0.884197713     -0.072768086    -2.74787E-05
0.176   0.941705386     0.93243685      0.995547609     0.99487651      0.424814623     0.452908028
0.232   0.837481271     0.829045147     1.001789596     1.000538422     0.688645993     0.693769487
0.299   0.717338398     0.705681595     0.958708159     0.954200228     0.861091953     0.864400612
0.36    0.604355788     0.592611203     0.894413838     0.886829654     0.945585118     0.952898493
0.44    0.452361782     0.449734385     0.781977843     0.777878743     0.997114061     1.001107654
0.52    0.310441481     0.0    	        0.658372301     0.0             1.004560927     0.0
0.64    0.13849076      0.132847003     0.471205247     0.463891044     0.940830311     0.937871271
0.76    -0.092485584    -0.085918908    0.219577254     0.21925019      0.786388095     0.7870333
0.88    -0.437220953    -0.427633073    -0.176485018    -0.174042836    0.454872246     0.455188492
