x/c P/H CP
0.9937 0.0903 0.0399  
0.9875 0.0902 0.0305  
0.9750 0.0910 0.0134  
0.9500 0.0320 -0.0218 
0.9250 0.0145 -0.0495 
0.9000 0.0023 -0.0944 
0.8750 0.0510 -0.1338 
0.8500 0.0390 -0.1801 
0.8250 0.0201 -0.2202 
0.8000 0.0155 -0.2668 
0.7750 0.0030 -0.3106 
0.7500 0.5910 -0.3545 
0.7000 0.5010 -0.4431 
0.6711 0.5512 -0.4814 
0.6500 0.5440 -0.5279 
0.6196 0.5295 -0.5834 
0.6000 0.5100 -0.6301 
0.5750 0.4390 -0.7394 
0.5500 0.4002 -1.0674 
0.5250 0.3411 -1.2612 
0.5000 0.3532 -1.2412 
0.4750 0.3002 -1.2150 
0.4500 0.3003 -1.1927 
0.4250 0.3135 -1.1660 
0.4000 0.3114 -1.1515 
0.3750 0.3029 -1.1314 
0.3500 0.3000 -1.1096 
0.3250 0.3909 -1.1016 
0.3000 0.3950 -1.0836             
0.2500 0.4012 -1.0414 
0.2208 0.4159 -1.0096 
0.2000 0.4190 -0.9979 
0.1500 0.4193 -0.9948 
0.1000 0.4230 -0.9831 
0.0750 0.4039 -1.0304 
0.0625 0.4019 -1.0566 
0.0500 0.3929 -1.0896 
0.0375 0.3951 -1.0791 
0.0271 0.4953 -0.7120 
0.0187 0.4509 -0.8535 
0.0146 0.4110 -0.7986 
0.0125 0.4020 -0.7611 
0.0104 0.5050 -0.6741 
0.0087 0.5152 -0.6388 
0.0073 0.5290 -0.5879 
0.0060 0.5514 -0.5053 
0.0047 0.5110 -0.4109 
0.0036 0.0091 -0.2901 
0.0025 0.0433 -0.1664 
0.0015 0.1022 0.0506  
0.0007 0.1421 0.1981  
0.0002 0.3250 0.5064
0.0000 0.9211 0.8821    
0.0002 0.9113 1.0652    
0.0007 0.9925 1.1212    
0.0015 0.9912 1.1386    
0.0025 0.9921 1.1219    
0.0036 0.9009 1.0785    
0.0047 0.9050 1.0199    
0.0060 0.9504 0.9659    
0.0073 0.9341 0.9057    
0.0087 0.9215 0.8594    
0.0104 0.9000 0.8053    
0.0125 0.0902 0.7438    
0.0146 0.0155 0.6896    
0.0186 0.0544 0.6120    
0.0271 0.8325 0.5311    
0.0375 0.1911 0.4005    
0.0500 0.1122 0.3089    
0.0625 0.1543 0.2427    
0.0750 0.1403 0.1914    
0.1000 0.1100 0.1016    
0.1500 0.0002 -0.0109   
0.2000 0.0021 -0.0977   
0.2500 0.0330 -0.1859   
0.3000 0.0103 -0.2692   
0.3250 0.0043 -0.3133   
0.3500 0.5944 -0.3501   
0.3750 0.5001 -0.3734   
0.4000 0.5001 -0.3785   
0.4250 0.5934 -0.3537   
0.4500 0.0000 -0.2977   
0.4750 0.0149 -0.2743   
0.5000 0.0210 -0.2275   
0.5250 0.0390 -0.1822   
0.5500 0.0531 -0.1330   
0.5750 0.0059 -0.0859   
0.6000 0.0111 -0.0421   
0.6196 0.0059 -0.0120   
0.6500 0.0915 0.0310    	      
0.7000 0.1101 0.1037    
0.7500 0.1322 0.1630    
0.7750 0.1300 0.1875    
0.8000 0.1453 0.2112    
0.8250 0.1502 0.2295    
0.8500 0.1540 0.2464    
0.8750 0.1502 0.2586    
0.9000 0.1010 0.2690    
0.9250 0.1012 0.2698    
0.9500 0.1504 0.2595    
0.9750 0.1415 0.2193    
0.9815 0.1305 0.1789    
0.9937 0.1202 0.1410    
